TF.ID,Target.ID,TF.alias,Target.alias,Activate/Repress,Reference,Note
AT1G65620,AT2G33860,AS2,ETT,R,17559509,
AT1G65620,AT2G34710,AS2,PHB,A,"16006579, 15208415, 17028202, 14508003, 17293570, 17601823",
AT1G65620,AT2G45190,AS2,AFO,R,14508003,
AT1G65620,AT3G15170,AS2,CUC1,R,18156293,
AT1G65620,AT4G00180,AS2,YAB3,R,14508003,
AT1G65620,AT4G08150,AS2,KNAT1,R,"18203921, 19088331, 15833920, 14871310, 19891706, 12787254, 14508003",
AT1G65620,AT5G03680,AS2,PTL,R,18156293,
AT1G65620,AT5G16560,AS2,KAN,R,"18849474, 15208415, 17028202, 14508003, 17601823",
AT1G65620,AT5G53950,AS2,CUC2,R,18156293,
AT1G65620,AT5G63090,AS2,LOB,A,"17557810, 14508003, 17601823",
AT1G66350,AT2G41940,RGL1,ZFP8,R,17704233,
AT1G66390,AT2G37260,MYB90,TTG2,A,17766401,
AT1G66600,AT2G14610,WRKY63,PR1,R,18776063,
AT1G67260,AT3G50660,TCP1,DWF4,A,20435901,
AT1G68640,AT2G17950,PAN,WUS,R,19542297,
AT1G68640,AT4G18960,PAN,AG,A,"19395638, 19542297, 20409275",
AT1G69120,AT1G30950,AP1,UFO,A,"12826617, 11283333",
AT1G69120,AT1G68480,AP1,JAG,R,15030755,
AT1G69120,AT2G22540,AP1,SVP,R,"15299121, 20409275, 17114273, 18694458, 16679456",
AT1G69120,AT2G45660,AP1,AGL20,R,18694458,
AT1G69120,AT2G47730,AP1,GSTF8,A,11997371,
AT1G69120,AT3G54340,AP1,AP3,A,"11283333, 20409275, 11959818,18417639",
AT1G69120,AT4G16280,AP1,FCA,R,10097382,
AT1G69120,AT4G18960,AP1,AG,R,"17409064, 19138429, 17881378, 16854969, 16679456, 18694458",
AT1G69120,AT4G24540,AP1,AGL24,R,"16131510, 15299121, 17316177, 20409275, 20074092, 17114273, 14716314, 18694458, 16679456, 17168895",
AT1G69120,AT5G03840,AP1,TFL1,R,"15096600, 11457954, 16359391, 10449576, 12148532, 20409275, 10648231, 10021331, 10368173, 15037730, 17666027",
AT1G69120,AT5G20240,AP1,PI,A,"11283333, 16640596, 15918886, 18417639",
AT1G69120,AT5G60910,AP1,AGL8,R,"15299121, 16155177, 15486106",
AT1G69120,AT5G61850,AP1,LFY,A,"10648231, 10368173",
AT1G69180,AT4G18960,CRC,AG,A,"18441215, 10225997",
AT1G69490,AT3G47340,NAP,ASN1,A,20007449,
AT1G69490,AT5G15970,NAP,KIN2,R,12713537,
AT1G69490,AT5G52310,NAP,LTI78,R,12713537,
AT1G69600,AT4G02380,ZFHD1,SAG21,A,17233795,
AT1G69600,AT4G37370,ZFHD1,CYP81D8,A,17233795,
AT1G69600,AT5G15970,ZFHD1,KIN2,R,18974936,
AT1G69600,AT5G51070,ZFHD1,ERD1,A,"18974936, 17233795, 17587305",
AT1G69600,AT5G52310,ZFHD1,LTI78,R,18974936,
AT1G70510,AT4G18960,KNAT2,AG,A,"11487688, 14871310",
AT1G71030,AT1G56650,MYBL2,MYB75,R,"18532978, 18532977",
AT1G71030,AT1G63650,MYBL2,EGL3,R,18532978,
AT1G71030,AT1G79840,MYBL2,GL2,R,"19136646, 12056412",
AT1G71030,AT4G09820,MYBL2,TT8,R,"19136646, 18532978, 18532977",
AT1G71030,AT5G35550,MYBL2,TT2,R,18532978,
AT1G71030,AT5G42800,MYBL2,DFR,R,"18532978, 18532977",
AT1G71692,AT1G65480,AGL12,FT,A,18203871,
AT1G71692,AT2G45660,AGL12,AGL20,A,18203871,
AT1G71692,AT5G61850,AGL12,LFY,A,18203871,
AT1G71930,AT1G16490,VND7,MYB58,A,19122102,
AT1G71930,AT1G28470,VND7,ANAC010,A,18952777,
AT1G71930,AT1G62990,VND7,KNAT7,A,18952777,
AT1G71930,AT1G79180,VND7,MYB63,A,19122102,
AT1G71930,AT2G38080,VND7,IRX12,A,17329564,
AT1G71930,AT5G12870,VND7,MYB46,A,"18952777, 17890373",
AT1G71930,AT5G17420,VND7,IRX3,A,17329564,
