1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03368	yccU	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03408	csgG	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03409	csgF	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03410	csgE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03411	csgD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03470	ariR	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03596	ydcK	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03597	ydcL	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03615	curA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03629	adhP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03640	gadC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03659	tam	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03697	ynfD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03739	sodC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03757	ldtE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03758	sufE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03759	sufS	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03760	sufD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03761	sufC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03762	sufB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03781	yniA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03819	yeaG	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03820	yeaH	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03831	yeaQ	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03844	yoaC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03859	yebV	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03881	uspC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03895	yedP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03900	hchA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03923	flu	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03959	yegP	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC03969	fbaB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04005	elaB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04044	yfcZ	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04172	rseC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04173	rseB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04211	glaH	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04212	kbp	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04213	yqaE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04371	dkgA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04397	patA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04415	yqjF	+	W 
