protein1 protein2 homology experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
511145.b0023 511145.b4161 0 800 132 0 0 0 0 818
511145.b0023 511145.b4147 0 935 281 0 0 0 0 951
511145.b0023 511145.b0191 0 800 0 0 0 0 0 800
511145.b0023 511145.b3313 0 800 738 0 0 0 0 945
511145.b0023 511145.b0911 0 800 0 720 0 0 0 941
511145.b0023 511145.b4391 0 0 465 0 0 0 0 465
511145.b0023 511145.b0436 0 800 0 0 0 0 0 800
511145.b0023 511145.b3169 0 800 0 0 0 0 0 800
511145.b0023 511145.b3314 0 800 738 720 0 0 0 984
511145.b0025 511145.b2383 0 0 204 0 0 0 0 204
