tf_id	tf_uniprot_id	tf_name	target_id	target_uniprot_id	target_name	activate/repress	source
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00336	P06136	ftsQ	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00354	P22256	gabT	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00364	P0A6T9	gcvH	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00396	P09831	gltB	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00397	P09832	gltD	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00486	P04968	ilvA	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00489	P05791	ilvD	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00490	P0AB80	ilvE	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00491	P00894	ilvH	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00492	P00893	ilvI	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00493	P0ADG1	ilvM	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00539	P0ACJ0	lrp	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00545	P0A8N5	lysU	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00581	P0A817	metK	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00609	P0AAD2	mtr	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00662	P06996	ompC	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00666	P23843	oppA	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00667	P0AFH2	oppB	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00668	P0AFH6	oppC	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00669	P76027	oppD	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00670	P77737	oppF	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00672	P0C0L2	osmC	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00686	P15288	pepD	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00918	P16095	sdaA	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00932	P0A9T0	serA	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00933	P0AGB0	serB	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC00934	P23721	serC	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01140	P0AC28	fau	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01141	P11667	argO	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01221	P0AAC0	uspE	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01250	P0AD86	thrL	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01299	P25526	gabD	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01300	P25527	gabP	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01307	P25737	lysP	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01357	P0AFH8	osmY	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01373	P29012	dadX	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01405	P27248	gcvT	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01468	P28721	gltF	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01506	P0ACG1	stpA	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01741	P33195	gcvP	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01742	P33224	aidB	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01853	P68206	yjbJ	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01860	P0AF48	yjbQ	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01896	P39264	fimI	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01916	P33348	yehL	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC01974	P33940	mqo	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02021	P36771	lrhA	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02038	P0AAD6	sdaC	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02059	P0AD99	brnQ	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02127	P37643	yhjE	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02247	P37339	lhgD	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02275	P0AAX3	ybiJ	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02303	P39282	yjeM	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02306	P0AAE0	cycA	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02406	P0AB61	yciN	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC02682	C1P619	ilvX	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC03322	P75821	ybjS	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC03335	P75835	ycaM	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC03438	P0ADC3	lolC	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC03730	P77304	dtpA	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC03834	P76249	leuE	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04021	P39263	yfcC	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04044	P0AD33	yfcZ	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04211	P76621	glaH	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04216	P64550	alaE	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04276	Q46939	yqeF	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04541	P76692	yzgL	+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04612	P0ADE2	ytfK	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04617	P0AF93	ridA	-+	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04660	P39374	yjiC	-	regulonDB
RDBECOLITFC00014	P0ACJ0	lrp	RDBECOLIGNC04700	P0DP89	ilvG	-	regulonDB
RDBECOLITFC00015	P27111	cynR	RDBECOLIGNC00170	P00816	cynS	+	regulonDB
RDBECOLITFC00015	P27111	cynR	RDBECOLIGNC00171	P0ABE9	cynT	+	regulonDB
RDBECOLITFC00015	P27111	cynR	RDBECOLIGNC00172	P17583	cynX	+	regulonDB
RDBECOLITFC00015	P27111	cynR	RDBECOLIGNC01384	P27111	cynR	-	regulonDB
RDBECOLITFC00016	Q46864	mqsA	RDBECOLIGNC00502	P13445	rpoS	-	regulonDB
RDBECOLITFC00016	Q46864	mqsA	RDBECOLIGNC01096	P0A968	cspD	-	regulonDB
