"protein_1_locus","protein_1_name","protein_2_locus","protein_2_name"
"BSU_15320","SigE","BSU_01070","RpoB"
"BSU_15320","SigE","BSU_01080","RpoC"
"BSU_15330","SigG","BSU_01070","RpoB"
"BSU_15330","SigG","BSU_01080","RpoC"
"BSU_13450","SigI","BSU_01070","RpoB"
"BSU_13450","SigI","BSU_01080","RpoC"
"BSU_23100","SigX","BSU_01070","RpoB"
"BSU_01080","RpoC","BSU_23100","SigX"
"BSU_12560","Xpf","BSU_01070","RpoB"
"BSU_12560","Xpf","BSU_01080","RpoC"
"BSU_25760","SigK","BSU_01070","RpoB"
"BSU_25760","SigK","BSU_01080","RpoC"
"BSU_38700","SigY","BSU_01070","RpoB"
"BSU_38700","SigY","BSU_01080","RpoC"
"BSU_26840","SigZ","BSU_01070","RpoB"
"BSU_26840","SigZ","BSU_01080","RpoC"
"BSU_16400","FlhF","BSU_16410","FlhG"
"BSU_27970","SpoIVFB","BSU_27980","SpoIVFA"
"BSU_02530","RtpA","BSU_22770","MtrB"
"BSU_12430","RapA","BSU_12440","PhrA"
"BSU_36660","UreA","BSU_36650","UreB"
"BSU_36660","UreA","BSU_36640","UreC"
"BSU_36650","UreB","BSU_36640","UreC"
"BSU_35239","SwrAA/2","BSU_35490","DegU"
"BSU_16240","FliI","BSU_16230","FliH"
"BSU_14910","CtaE","BSU_14870","CtaA"
"BSU_16250","FliJ","BSU_16390","FlhA"
"BSU_27520","CymR","BSU_00730","CysK"
"BSU_25760","SigK","BSU_27970","SpoIVFB"
"BSU_14150","YkuN","BSU_12210","YjiB"
"BSU_17700","CotC","BSU_17670","CotU"
"BSU_03770","RapC","BSU_03780","PhrC"
"BSU_15290","FtsZ","BSU_28000","MinC"
"BSU_12210","YjiB","BSU_14170","YkuP"
"BSU_17030","CotE","BSU_17670","CotU"
"BSU_03770","RapC","BSU_31680","ComA"
"BSU_27980","SpoIVFA","BSU_00230","BofA"
"BSU_13900","PtsH","BSU_03982","MtlF"
"BSU_04080","PxpB","BSU_13990","KinA"
"BSU_04090","PxpC","BSU_04080","PxpB"
"BSU_05750","Fra","BSU_32680","SufU"
"BSU_25560","HolA","BSU_00310","HolB"
"BSU_24360","SpoIIIAH","BSU_24370","SpoIIIAG"
"BSU_34740","Crh","BSU_33940","GapA"
"BSU_13900","PtsH","BSU_33940","GapA"
"BSU_16240","FliI","BSU_16250","FliJ"
"BSU_19720","YodR","BSU_19730","YodS"
"BSU_24610","SinR","BSU_34380","SlrR"
"BSU_40910","RpsF","BSU_40890","RpsR"
"BSU_37130","Spo0F","BSU_06830","RapH"
"BSU_16330","CheY","BSU_16450","CheC"
"BSU_25200","SigA","BSU_misc_RNA_32","BsrB"
"BSU_25200","SigA","BSU_misc_RNA_41","BsrA"
"BSU_15150","FtsL","BSU_16560","RasP"
"BSU_15150","FtsL","BSU_00620","DivIC"
