tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G32640	AT1G19180	MYC2	JAZ1	A	20140232	atrm	Q39204	Q9LMA8
AT1G32640	AT1G27730	MYC2	STZ	R	17616737	atrm	Q39204	Q96289
AT1G32640	AT1G28370	MYC2	ERF11	R	17616737	atrm	Q39204	Q9C5I3
AT1G32640	AT1G29930	MYC2	CAB1	A	15923349	atrm	Q39204	P04778
AT1G32640	AT1G32640	MYC2	MYC2	R	17616737	atrm	Q39204	Q39204
AT1G32640	AT1G33760	MYC2	AT1G33760	R	17616737	atrm	Q39204	Q9LQ28
AT1G32640	AT1G67090	MYC2	RBCS1A	A	15923349	atrm	Q39204	P10795
AT1G32640	AT1G72260	MYC2	THI2.1	R	17215350	atrm	Q39204	Q42596
AT1G32640	AT1G77120	MYC2	ADH1	A	17764576;12509522	atrm	Q39204	P06525
AT1G32640	AT2G14610	MYC2	PR1	R	16838791	atrm	Q39204	P33154
AT1G32640	AT2G24850	MYC2	TAT3	A	15208388	atrm	Q39204	Q9SK47
AT1G32640	AT2G46340	MYC2	SPA1	A	20864543;15173567	atrm	Q39204	Q9SYX2
AT1G32640	AT3G04720	MYC2	PR4	R	18657213	atrm	Q39204	P43082
AT1G32640	AT3G12500	MYC2	ATHCHIB	R	15231736	atrm	Q39204	P19171
AT1G32640	AT3G15210	MYC2	ERF4	R	17616737	atrm	Q39204	O80340
AT1G32640	AT3G16470	MYC2	JR1	A	15231736	atrm	Q39204	O04309
AT1G32640	AT3G23240	MYC2	ERF1	R	17616737	atrm	Q39204	Q8LDC8
AT1G32640	AT3G45140	MYC2	LOX2	A	18657213	atrm	Q39204	P38418
AT1G32640	AT4G17490	MYC2	ERF6	R	17616737	atrm	Q39204	Q8VZ91
AT1G32640	AT5G07100	MYC2	WRKY26	R	17616737	atrm	Q39204	Q9C5T3
AT1G32640	AT5G24770	MYC2	VSP2	A	18657213;15208388	atrm	Q39204	O82122
