regulator_locus	regulator_name	mode	gene_locus	gene_name	link	source
BSU_09990	scoC	repression	BSU_35460	comFB	224308.BSU09990/224308.BSU35460	subtiwiki
BSU_09990	scoC	repression	BSU_35390	yviE	224308.BSU09990/224308.BSU35390	subtiwiki
BSU_09990	scoC	repression	BSU_35430	flgM	224308.BSU09990/224308.BSU35430	subtiwiki
BSU_35490	degU	activation	BSU_35870	capE	224308.BSU35490/224308.BSU35870	subtiwiki
BSU_35490	degU	activation	BSU_35900	capB	224308.BSU35490/224308.BSU35900	subtiwiki
BSU_35490	degU	activation	BSU_35880	capA	224308.BSU35490/224308.BSU35880	subtiwiki
BSU_35490	degU	activation	BSU_35890	capC	224308.BSU35490/224308.BSU35890	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35870	capE	224308.BSU25200/224308.BSU35870	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35900	capB	224308.BSU25200/224308.BSU35900	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35880	capA	224308.BSU25200/224308.BSU35880	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35890	capC	224308.BSU25200/224308.BSU35890	subtiwiki
BSU_36420	spoIIID	repression	BSU_24360	spoIIIAH	224308.BSU36420/224308.BSU24360	subtiwiki
BSU_36420	spoIIID	repression	BSU_24370	spoIIIAG	224308.BSU36420/224308.BSU24370	subtiwiki
BSU_36420	spoIIID	repression	BSU_24400	spoIIIAD	224308.BSU36420/224308.BSU24400	subtiwiki
BSU_36420	spoIIID	repression	BSU_24410	spoIIIAC	224308.BSU36420/224308.BSU24410	subtiwiki
BSU_36420	spoIIID	repression	BSU_24430	spoIIIAA	224308.BSU36420/224308.BSU24430	subtiwiki
BSU_36420	spoIIID	repression	BSU_24440	yqhV	224308.BSU36420/224308.BSU24440	subtiwiki
BSU_36420	spoIIID	repression	BSU_24380	spoIIIAF	224308.BSU36420/224308.BSU24380	subtiwiki
BSU_36420	spoIIID	repression	BSU_24390	spoIIIAE	224308.BSU36420/224308.BSU24390	subtiwiki
BSU_36420	spoIIID	repression	BSU_24420	spoIIIAB	224308.BSU36420/224308.BSU24420	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24360	spoIIIAH	224308.BSU15320/224308.BSU24360	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24370	spoIIIAG	224308.BSU15320/224308.BSU24370	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24400	spoIIIAD	224308.BSU15320/224308.BSU24400	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24410	spoIIIAC	224308.BSU15320/224308.BSU24410	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24430	spoIIIAA	224308.BSU15320/224308.BSU24430	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24440	yqhV	224308.BSU15320/224308.BSU24440	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24380	spoIIIAF	224308.BSU15320/224308.BSU24380	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24390	spoIIIAE	224308.BSU15320/224308.BSU24390	subtiwiki
BSU_15320	sigE	sigma factor	BSU_24420	spoIIIAB	224308.BSU15320/224308.BSU24420	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00870	radA	224308.BSU09520/224308.BSU00870	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00880	disA	224308.BSU09520/224308.BSU00880	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00850	mcsB	224308.BSU09520/224308.BSU00850	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00860	clpC	224308.BSU09520/224308.BSU00860	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00830	ctsR	224308.BSU09520/224308.BSU00830	subtiwiki
BSU_09520	sigM	sigma factor	BSU_00840	mcsA	224308.BSU09520/224308.BSU00840	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00870	radA	224308.BSU25200/224308.BSU00870	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00880	disA	224308.BSU25200/224308.BSU00880	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00850	mcsB	224308.BSU25200/224308.BSU00850	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00860	clpC	224308.BSU25200/224308.BSU00860	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00830	ctsR	224308.BSU25200/224308.BSU00830	subtiwiki
BSU_25200	sigA	sigma factor	BSU_00840	mcsA	224308.BSU25200/224308.BSU00840	subtiwiki
BSU_04730	sigB	sigma factor	BSU_00870	radA	224308.BSU04730/224308.BSU00870	subtiwiki
BSU_04730	sigB	sigma factor	BSU_00880	disA	224308.BSU04730/224308.BSU00880	subtiwiki
BSU_04730	sigB	sigma factor	BSU_00850	mcsB	224308.BSU04730/224308.BSU00850	subtiwiki
BSU_04730	sigB	sigma factor	BSU_00860	clpC	224308.BSU04730/224308.BSU00860	subtiwiki
BSU_04730	sigB	sigma factor	BSU_00830	ctsR	224308.BSU04730/224308.BSU00830	subtiwiki
BSU_04730	sigB	sigma factor	BSU_00840	mcsA	224308.BSU04730/224308.BSU00840	subtiwiki
BSU_00830	ctsR	repression	BSU_00870	radA	224308.BSU00830/224308.BSU00870	subtiwiki
BSU_00830	ctsR	repression	BSU_00880	disA	224308.BSU00830/224308.BSU00880	subtiwiki
BSU_00830	ctsR	repression	BSU_00850	mcsB	224308.BSU00830/224308.BSU00850	subtiwiki
BSU_00830	ctsR	repression	BSU_00860	clpC	224308.BSU00830/224308.BSU00860	subtiwiki
BSU_00830	ctsR	repression	BSU_00830	ctsR	224308.BSU00830/224308.BSU00830	subtiwiki
BSU_00830	ctsR	repression	BSU_00840	mcsA	224308.BSU00830/224308.BSU00840	subtiwiki
BSU_23450	sigF	sigma factor	BSU_00870	radA	224308.BSU23450/224308.BSU00870	subtiwiki
BSU_23450	sigF	sigma factor	BSU_00880	disA	224308.BSU23450/224308.BSU00880	subtiwiki
BSU_23450	sigF	sigma factor	BSU_00850	mcsB	224308.BSU23450/224308.BSU00850	subtiwiki
BSU_23450	sigF	sigma factor	BSU_00860	clpC	224308.BSU23450/224308.BSU00860	subtiwiki
BSU_23450	sigF	sigma factor	BSU_00830	ctsR	224308.BSU23450/224308.BSU00830	subtiwiki
BSU_23450	sigF	sigma factor	BSU_00840	mcsA	224308.BSU23450/224308.BSU00840	subtiwiki
BSU_09520	sigM	sigma factor	BSU_15260	ylxX	224308.BSU09520/224308.BSU15260	subtiwiki
BSU_09520	sigM	sigma factor	BSU_15270	sbp	224308.BSU09520/224308.BSU15270	subtiwiki
BSU_09520	sigM	sigma factor	BSU_15250	ylxW	224308.BSU09520/224308.BSU15250	subtiwiki
BSU_09520	sigM	sigma factor	BSU_15230	murB	224308.BSU09520/224308.BSU15230	subtiwiki
BSU_09520	sigM	sigma factor	BSU_15240	divIB	224308.BSU09520/224308.BSU15240	subtiwiki
BSU_09520	sigM	sigma factor	BSU_15220	murG	224308.BSU09520/224308.BSU15220	subtiwiki
BSU_25200	sigA	sigma factor	BSU_15260	ylxX	224308.BSU25200/224308.BSU15260	subtiwiki
BSU_25200	sigA	sigma factor	BSU_15270	sbp	224308.BSU25200/224308.BSU15270	subtiwiki
BSU_25200	sigA	sigma factor	BSU_15250	ylxW	224308.BSU25200/224308.BSU15250	subtiwiki
BSU_25200	sigA	sigma factor	BSU_15230	murB	224308.BSU25200/224308.BSU15230	subtiwiki
BSU_25200	sigA	sigma factor	BSU_15240	divIB	224308.BSU25200/224308.BSU15240	subtiwiki
BSU_25200	sigA	sigma factor	BSU_15220	murG	224308.BSU25200/224308.BSU15220	subtiwiki
BSU_15320	sigE	sigma factor	BSU_15260	ylxX	224308.BSU15320/224308.BSU15260	subtiwiki
BSU_15320	sigE	sigma factor	BSU_15270	sbp	224308.BSU15320/224308.BSU15270	subtiwiki
BSU_15320	sigE	sigma factor	BSU_15250	ylxW	224308.BSU15320/224308.BSU15250	subtiwiki
BSU_15320	sigE	sigma factor	BSU_15230	murB	224308.BSU15320/224308.BSU15230	subtiwiki
