Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
ct	FBgn0004198	Cp190	FBgn0000283	enhanceable	FBrf0222817	flybase
tut	FBgn0052364	Cpsf73	FBgn0261065	enhanceable	FBrf0234954	flybase
Dg	FBgn0034072	dpp	FBgn0000490	enhanceable	FBrf0205440	flybase
robo1	FBgn0005631	Abl	FBgn0000017	enhanceable	FBrf0162201	flybase
DAAM	FBgn0025641	ena	FBgn0000578	enhanceable	FBrf0206320	flybase
bw	FBgn0000241	LAS110	FBgn0262830	suppressible	FBrf0211786	flybase
puc	FBgn0243512	Tak1	FBgn0026323	suppressible	FBrf0210554	flybase
Moe	FBgn0011661	Tak1	FBgn0026323	suppressible	FBrf0210554	flybase
Tsc1	FBgn0026317	CycE	FBgn0010382	enhanceable	FBrf0135684	flybase
gig	FBgn0005198	CycE	FBgn0010382	enhanceable	FBrf0135684	flybase
Raf::tor	FBgn0013724	lilli	FBgn0041111	suppressible	FBrf0134581	flybase
Arms	FBgn0261554	IKKβ	FBgn0024222	suppressible	FBrf0255801	flybase
grim	FBgn0015946	Dark	FBgn0263864	suppressible	FBrf0147000	flybase
Diap1	FBgn0260635	Dark	FBgn0263864	suppressible	FBrf0147000	flybase
tna	FBgn0026160	mor	FBgn0002783	enhanceable	FBrf0155711	flybase
Iswi	FBgn0011604	Acf	FBgn0027620	enhanceable	FBrf0211659	flybase
Mterf4	FBgn0031419	mtSSB	FBgn0010438	suppressible	FBrf0258753	flybase
ro	FBgn0003267	hh	FBgn0004644	suppressible	FBrf0131272	flybase
mrt	FBgn0039507	pzg	FBgn0259785	suppressible	FBrf0240036	flybase
hbs	FBgn0287864	Psn	FBgn0284421	enhanceable	FBrf0218978	flybase
Vap33	FBgn0029687	S6k	FBgn0283472	suppressible	FBrf0226712	flybase
aop	FBgn0000097	Axn	FBgn0026597	suppressible	FBrf0216277	flybase
rdgA	FBgn0261549	trp	FBgn0003861	suppressible	FBrf0127286	flybase
yki	FBgn0034970	Rox8	FBgn0005649	suppressible	FBrf0247432	flybase
Vha68-1	FBgn0265262	Vha68-3	FBgn0032464	suppressible	FBrf0239318	flybase
N	FBgn0004647	jigr1	FBgn0039350	enhanceable	FBrf0202263	flybase
scrib	FBgn0263289	kune::α-Cat	FBgn0289728	suppressible	FBrf0256305	flybase
ct	FBgn0004198	bdwf	FBgn0038472	suppressible	FBrf0256260	flybase
WRNexo	FBgn0038608	spn-A	FBgn0003479	enhanceable	FBrf0226733	flybase
cindr	FBgn0027598	CG12477	FBgn0036809	enhanceable	FBrf0237191	flybase
upd1	FBgn0004956	pAbp	FBgn0265297	suppressible	FBrf0190752	flybase
rho	FBgn0004635	ru	FBgn0003295	enhanceable	FBrf0128677	flybase
tkv	FBgn0003716	sax	FBgn0003317	enhanceable	FBrf0211154	flybase
hng1	FBgn0034599	Dlip3	FBgn0040465	enhanceable	FBrf0224045	flybase
N	FBgn0004647	Pink1	FBgn0029891	enhanceable	FBrf0223692	flybase
ac	FBgn0000022	ttk	FBgn0003870	enhanceable	FBrf0152198	flybase
Syx17	FBgn0035540	Rab11	FBgn0015790	suppressible	FBrf0242427	flybase
rpr	FBgn0011706	GlcT	FBgn0067102	suppressible	FBrf0180363	flybase
aos	FBgn0004569	ebi	FBgn0263933	enhanceable	FBrf0216882	flybase
dx	FBgn0000524	Su(H)	FBgn0004837	enhanceable	FBrf0191215	flybase
Dhpr	FBgn0035964	Marf	FBgn0029870	enhanceable	FBrf0243587	flybase
ecd	FBgn0000543	Ras85D	FBgn0003205	suppressible	FBrf0224671	flybase
pcs	FBgn0033988	Btk	FBgn0003502	suppressible	FBrf0195055	flybase
Hip14	FBgn0259824	Csp::nSyb	FBgn0259919	suppressible	FBrf0200919	flybase
Lamtor3	FBgn0032642	corto	FBgn0010313	enhanceable	FBrf0213310	flybase
pnt	FBgn0003118	stg	FBgn0003525	suppressible	FBrf0155467	flybase
H	FBgn0001169	Ser	FBgn0004197	enhanceable	FBrf0190751	flybase
Pp2B-14D	FBgn0011826	RasGAP1	FBgn0004390	suppressible	FBrf0149012	flybase
Pka-C1	FBgn0000273	Strn-Mlck	FBgn0265045	suppressible	FBrf0250324	flybase
SkpA	FBgn0025637	bsk	FBgn0000229	suppressible	FBrf0225403	flybase
Sxl	FBgn0264270	Oda	FBgn0014184	suppressible	FBrf0155664	flybase
