Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
su(Hw)|w	FBgn0003567|FBgn0003996	esc	FBgn0000588	enhanceable	FBrf0135809
ct	FBgn0004198	Sph35	FBgn0032213	enhanceable	FBrf0187644
N	FBgn0004647	E(spl)m8-HLH	FBgn0000591	enhanceable	FBrf0065591
Patronin	FBgn0263197	spas	FBgn0039141	suppressible	FBrf0247729
N	FBgn0004647	SERCA	FBgn0263006	enhanceable	FBrf0112004
yki	FBgn0034970	Atg1	FBgn0260945	suppressible	FBrf0246931
dod	FBgn0015379	Su(var)205	FBgn0003607	suppressible	FBrf0251321
mod(mdg4)|ct	FBgn0002781|FBgn0004198	Cp190	FBgn0000283	enhanceable	FBrf0222817
tut	FBgn0052364	Cpsf73	FBgn0261065	enhanceable	FBrf0234954
Dg	FBgn0034072	dpp	FBgn0000490	enhanceable	FBrf0205440
robo1	FBgn0005631	Abl	FBgn0000017	enhanceable	FBrf0162201
DAAM	FBgn0025641	ena	FBgn0000578	enhanceable	FBrf0206320
bw	FBgn0000241	LAS110	FBgn0262830	suppressible	FBrf0211786
puc|Moe	FBgn0243512|FBgn0011661	Tak1	FBgn0026323	suppressible	FBrf0210554
Tsc1|gig	FBgn0026317|FBgn0005198	CycE	FBgn0010382	enhanceable	FBrf0135684
Raf::tor	FBgn0013724	lilli	FBgn0041111	suppressible	FBrf0134581
Arms	FBgn0261554	IKKβ	FBgn0024222	suppressible	FBrf0255801
grim|Diap1	FBgn0015946|FBgn0260635	Dark	FBgn0263864	suppressible	FBrf0147000
tna	FBgn0026160	mor	FBgn0002783	enhanceable	FBrf0155711
Iswi	FBgn0011604	Acf	FBgn0027620	enhanceable	FBrf0211659
Mterf4	FBgn0031419	mtSSB	FBgn0010438	suppressible	FBrf0258753
ro	FBgn0003267	hh	FBgn0004644	suppressible	FBrf0131272
mrt	FBgn0039507	pzg	FBgn0259785	suppressible	FBrf0240036
hbs	FBgn0287864	Psn	FBgn0284421	enhanceable	FBrf0218978
Vap33	FBgn0029687	S6k	FBgn0283472	suppressible	FBrf0226712
aop	FBgn0000097	Axn	FBgn0026597	suppressible	FBrf0216277
rdgA	FBgn0261549	trp	FBgn0003861	suppressible	FBrf0127286
yki	FBgn0034970	Rox8	FBgn0005649	suppressible	FBrf0247432
Vha68-1	FBgn0265262	Vha68-3	FBgn0032464	suppressible	FBrf0239318
N	FBgn0004647	jigr1	FBgn0039350	enhanceable	FBrf0202263
scrib	FBgn0263289	kune::α-Cat	FBgn0289728	suppressible	FBrf0256305
ct	FBgn0004198	bdwf	FBgn0038472	suppressible	FBrf0256260
WRNexo	FBgn0038608	spn-A	FBgn0003479	enhanceable	FBrf0226733
cindr	FBgn0027598	CG12477	FBgn0036809	enhanceable	FBrf0237191
upd1	FBgn0004956	pAbp	FBgn0265297	suppressible	FBrf0190752
rho	FBgn0004635	ru	FBgn0003295	enhanceable	FBrf0128677
tkv	FBgn0003716	sax	FBgn0003317	enhanceable	FBrf0211154
hng1	FBgn0034599	Dlip3	FBgn0040465	enhanceable	FBrf0224045
N	FBgn0004647	Pink1	FBgn0029891	enhanceable	FBrf0223692
ac	FBgn0000022	ttk	FBgn0003870	enhanceable	FBrf0152198
Syx17	FBgn0035540	Rab11	FBgn0015790	suppressible	FBrf0242427
rpr	FBgn0011706	GlcT	FBgn0067102	suppressible	FBrf0180363
aos	FBgn0004569	ebi	FBgn0263933	enhanceable	FBrf0216882
dx	FBgn0000524	Su(H)	FBgn0004837	enhanceable	FBrf0191215
Dhpr	FBgn0035964	Marf	FBgn0029870	enhanceable	FBrf0243587
ecd	FBgn0000543	Ras85D	FBgn0003205	suppressible	FBrf0224671
pcs	FBgn0033988	Btk	FBgn0003502	suppressible	FBrf0195055
Hip14	FBgn0259824	Csp::nSyb	FBgn0259919	suppressible	FBrf0200919
Lamtor3	FBgn0032642	corto	FBgn0010313	enhanceable	FBrf0213310
pnt	FBgn0003118	stg	FBgn0003525	suppressible	FBrf0155467
H	FBgn0001169	Ser	FBgn0004197	enhanceable	FBrf0190751
Pp2B-14D	FBgn0011826	RasGAP1	FBgn0004390	suppressible	FBrf0149012
Pka-C1	FBgn0000273	Strn-Mlck	FBgn0265045	suppressible	FBrf0250324
SkpA	FBgn0025637	bsk	FBgn0000229	suppressible	FBrf0225403
Sxl	FBgn0264270	Oda	FBgn0014184	suppressible	FBrf0155664
lace	FBgn0002524	Dscam1	FBgn0033159	enhanceable	FBrf0241573
