uniprotID1,uniprotID2,source,evidence,link
Q6NW92,B8JKM0,psicquic,experimental,20802085
Q6NW92,F1QHI8,psicquic,experimental,18296487
Q6NW92,Q58EG3,psicquic,experimental,20802085;20802085
Q6NW92,Q6NW92,psicquic,experimental,18296487
Q6NW92,Q8AXB3,psicquic,experimental,20802085;20802085
Q6NW92,Q9DE36,psicquic,experimental,20802085
Q6NY23,Q6NY23,psicquic,experimental,18296487;18296487
Q6PFK4,B0CLV3,psicquic,experimental,26190107;24626987
Q6PFK4,B0CLV6,psicquic,experimental,20802085
Q6PFU7,A9XP97,psicquic,experimental,26190107;23565095
Q7SX76,A0A4W4,psicquic,experimental,20802085
Q7SX76,A4JYL6,psicquic,experimental,18296487
Q7SX76,B0V0E5,psicquic,experimental,20802085;20802085
Q7SX76,B7ZV58,psicquic,experimental,19765300;26190107
Q7SX76,B8JKM0,psicquic,experimental,19765300
Q7SX76,Q1L921,psicquic,experimental,20802085;20802085
Q7SX76,Q90413,psicquic,experimental,18296487
Q7T2E1,A0A8M2BEY1,psicquic,experimental,26190107;24626987
Q7ZVP2,B2XCM0,psicquic,experimental,18455989
Q803T1,F1QHI8,psicquic,experimental,20802085
Q8AXB3,A0A8M1P5N0,psicquic,experimental,20802085;20802085
Q8AXB3,A0A8M3B365,psicquic,experimental,20802085;20802085
Q8AXB3,A0A8M9Q8Q6,psicquic,experimental,20802085
Q8AXB3,A8DZ85,psicquic,experimental,20802085;20802085
Q8AXB3,B7ZV58,psicquic,experimental,19765300;26190107;19765300;26190107
Q8AXB3,F1Q534,psicquic,experimental,20802085
Q8AXB3,Q15JE7,psicquic,experimental,20802085
Q8AXB3,Q58EG3,psicquic,experimental,20802085;20802085
Q8AXB3,Q8UVD6,psicquic,experimental,20802085
Q8JG36,Q6NW73,psicquic,experimental,18296487
Q8JG36,Q8JG36,psicquic,experimental,18296487;18296487
Q8JG38,A0A8M3B365,psicquic,experimental,20802085
Q8JG38,A0A8M9Q8Q6,psicquic,experimental,20802085
Q8JG38,Q5K373,psicquic,experimental,20802085
Q8UVD6,A0A4W4,psicquic,experimental,20802085;19765300;26190107
Q8UVD6,A0A8M1Q1X6,psicquic,experimental,19765300;26190107
Q8UVD6,A4JYL6,psicquic,experimental,18296487;18296487
Q8UVD6,A4JYN2,psicquic,experimental,20802085
Q8UVD6,A4JYQ1,psicquic,experimental,18296487;20802085;18296487
Q8UVD6,A4JYR2,psicquic,experimental,20802085
Q8UVD6,B8JKM0,psicquic,experimental,19765300;19765300
Q8UVD6,F1QHI8,psicquic,experimental,18296487;19765300;26190107
Q8UVD6,F1QUK5,psicquic,experimental,20802085
Q8UVD6,Q803T1,psicquic,experimental,20802085
Q8UVD6,Q8AXB3,psicquic,experimental,20802085
Q8UVD6,Q8JG36,psicquic,experimental,20802085
Q8UVD6,Q8UVD6,psicquic,experimental,18296487;20802085
Q90275,Q90275,psicquic,experimental,26190107;24626987
Q90413,F1QUK5,psicquic,experimental,18296487;20802085
Q90413,Q5K373,psicquic,experimental,18296487
Q90413,Q7SX76,psicquic,experimental,18296487
Q90413,Q8UVD6,psicquic,experimental,18296487;18296487
Q90YC5,A0A8M9PHF0,psicquic,experimental,26190107;26190107
Q90YC5,A4JYP8,psicquic,experimental,26190107;26190107
Q90YC5,O13146,psicquic,experimental,26190107
Q90Z31,Q5J1R9,psicquic,experimental,26190107
Q98SW4,A0A0R4IVA1,psicquic,experimental,26190107;26190107
Q98SW4,Q3Y6S4,psicquic,experimental,20802085
Q9DE36,A0A8M9PLL4,psicquic,experimental,19765300;26190107
Q9DE36,A8DZ85,psicquic,experimental,20802085
Q9DE36,O73878,psicquic,experimental,26190107;20097902
Q9DE36,Q15JE7,psicquic,experimental,20802085;20802085
Q9DE36,Q16531,psicquic,experimental,26190107;19109893
Q9DE36,Q5ZEW1,psicquic,experimental,26190107;20097902
Q9DE36,Q8UVD6,psicquic,experimental,19765300;26190107
Q9DE36,Q98SW4,psicquic,experimental,20802085
Q9DE49,B0CLV3,psicquic,experimental,20802085
Q9DGG9,Q29RC0,psicquic,experimental,26190107;24626987
Q9W767,A4JYN2,psicquic,experimental,19765300;26190107
Q9W767,B8JKM0,psicquic,experimental,19765300;26190107
Q9W767,O42114,psicquic,experimental,26190107;26190107
Q9W767,Q502U6,psicquic,experimental,26190107;26190107
Z4YIA7,O73878,psicquic,experimental,26190107;26190107
Z4YIA7,Q6YBR5,psicquic,experimental,26190107;24626987
