uniprotID1	uniprotID2	link	source	alt_name1	alt_name2	name1	name2
Q6DGL9	Q6IQB1	7955.ENSDARP00000005837/7955.ENSDARP00000106359	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Ribosomal protein L5	Large ribosomal subunit protein eL38 	Ribosomal protein L5
Q6DGL9	Q6PBZ1	7955.ENSDARP00000005837/7955.ENSDARP00000010055	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	60S ribosomal protein L7a	Large ribosomal subunit protein eL38 	60S ribosomal protein L7a
Q6DGL9	Q6PBI5	7955.ENSDARP00000005837/7955.ENSDARP00000124711	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein eS25 
Q6DGL9	Q6PC14	7955.ENSDARP00000005837/7955.ENSDARP00000069977	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein uL14 
Q6DGL9	Q6PC14	7955.ENSDARP00000005837/7955.ENSDARP00000069977	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein uL14 
Q6DGL9	F1QGI3	7955.ENSDARP00000005837/7955.ENSDARP00000006624	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Ribosomal protein L23a	Large ribosomal subunit protein eL38 	Ribosomal protein L23a
Q6DGL9	Q567N5	7955.ENSDARP00000005837/7955.ENSDARP00000091899	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL6 
Q6DGL9	Q567N5	7955.ENSDARP00000005837/7955.ENSDARP00000091899	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL6 
Q6DGL9	A8KB78	7955.ENSDARP00000005837/7955.ENSDARP00000035273	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	Large ribosomal subunit protein eL38 	Small ribosomal subunit protein uS12 
Q6DGL9	Q8AW82	7955.ENSDARP00000005837/7955.ENSDARP00000057822	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Novel protein similar to human proliferation-associated 2G4 protein (PA2G4) (Proliferation-associated 2G4, a)	Large ribosomal subunit protein eL38 	Novel protein similar to human proliferation-associated 2G4 protein 
Q6DGL9	Q6Q415	7955.ENSDARP00000005837/7955.ENSDARP00000141617	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL36 (60S ribosomal protein L36)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL36 
Q6DGL9	Q6PC80	7955.ENSDARP00000005837/7955.ENSDARP00000063788	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Ribosomal protein S5	Large ribosomal subunit protein eL38 	Ribosomal protein S5
Q6DGL9	Q6DGM0	7955.ENSDARP00000005837/7955.ENSDARP00000126258	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL33 
Q6DGL9	Q6DGM0	7955.ENSDARP00000005837/7955.ENSDARP00000126258	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL33 
Q6DGL9	Q6DGM0	7955.ENSDARP00000005837/7955.ENSDARP00000126258	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	Large ribosomal subunit protein eL38 	Large ribosomal subunit protein eL33 
Q6DGL9	A7YY10	7955.ENSDARP00000005837/7955.ENSDARP00000149337	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	60S ribosomal protein L37a (Zgc:171772)	Large ribosomal subunit protein eL38 	60S ribosomal protein L37a 
Q6DGL9	Q6DGL0	7955.ENSDARP00000005837/7955.ENSDARP00000043172	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Ribosomal protein L18 (Zgc:92872)	Large ribosomal subunit protein eL38 	Ribosomal protein L18 
Q6DGL9	Q9I9N0	7955.ENSDARP00000005837/7955.ENSDARP00000141912	string-db	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Death-associated protein-like 1 homolog (Death-associated protein 1b)	Large ribosomal subunit protein eL38 	Death-associated protein-like 1 homolog 
