"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"BSU_00020","BSU_20340","DnaN","YorL","dnaN","BSU_20340","DnaN","YorL","BSU_00020","BSU_20340","string-db","224308.BSU20340/224308.BSU00020","physical","txid224308"
"BSU_00020","BSU_29230","DnaN","DnaE","dnaN","dnaE","DnaN","DnaE","BSU_00020","BSU_29230","subtiwiki","224308.BSU29230/224308.BSU00020","physical","txid224308"
"BSU_00020","BSU_29740","DnaN","CcpA","dnaN","ccpA","DnaN","CcpA","BSU_00020","BSU_29740","string-db","224308.BSU29740/224308.BSU00020","physical","txid224308"
"BSU_00020","BSU_22350","DnaN","DnaD","dnaN","BSU_22350","DnaN","DnaD","BSU_00020","BSU_22350","subtiwiki","224308.BSU00020/224308.BSU22350","physical","txid224308"
"BSU_00020","BSU_00330","DnaN","DnaH","dnaN","BSU_00330","DnaN","YabA","BSU_00020","BSU_00330","subtiwiki","224308.BSU00020/224308.BSU00330","physical","txid224308"
"BSU_00020","BSU_23870","DnaN","PolY1","dnaN","BSU_23870","DnaN","PolYA","BSU_00020","BSU_23870","subtiwiki","224308.BSU00020/224308.BSU23870","physical","txid224308"
"BSU_00020","BSU_00190","DnaN","DnaX","dnaN","BSU_00190","DnaN","DnaX","BSU_00020","BSU_00190","subtiwiki","224308.BSU00190/224308.BSU00020","physical","txid224308"
"BSU_00020","BSU_23710","DnaN","PolYB","dnaN","polY2","DnaN","PolY2","BSU_00020","BSU_23710","subtiwiki","224308.BSU00020/224308.BSU23710","physical","txid224308"
"BSU_00020","BSU_40900","DnaN","SsbA","dnaN","ssbA","DnaN","SsbA","BSU_00020","BSU_40900","subtiwiki","224308.BSU00020/224308.BSU40900","physical","txid224308"
"BSU_00020","BSU_16940","DnaN","RecA","dnaN","recA","DnaN","RecA","BSU_00020","BSU_16940","subtiwiki","224308.BSU00020/224308.BSU16940","physical","txid224308"
"BSU_00020","BSU_28980","DnaN","DnaI","dnaN","BSU_28980","DnaN","DnaI","BSU_00020","BSU_28980","subtiwiki","224308.BSU00020/224308.BSU28980","physical","txid224308"
"BSU_00020","BSU_00040","DnaN","RecF","dnaN","recF","DnaN","RecF","BSU_00020","BSU_00040","subtiwiki","224308.BSU00020/224308.BSU00040","physical","txid224308"
"BSU_00020","BSU_15710","DnaN","PriA","dnaN","BSU_15710","DnaN","PriA","BSU_00020","BSU_15710","subtiwiki","224308.BSU00020/224308.BSU15710","physical","txid224308"
"BSU_00020","BSU_00210","DnaN","RecR","dnaN","BSU_00210","DnaN","RecR","BSU_00020","BSU_00210","subtiwiki","224308.BSU00020/224308.BSU00210","physical","txid224308"
"BSU_00020","BSU_17040","DnaN","MutS","dnaN","BSU_17040","DnaN","MutS","BSU_00020","BSU_17040","subtiwiki","224308.BSU00020/224308.BSU17040","physical","txid224308"
"BSU_20340","BSU_25560","YorL","HolA","BSU_20340","BSU_25560","YorL","HolA","BSU_20340","BSU_25560","string-db","224308.BSU25560/224308.BSU20340","physical","txid224308"
"BSU_20340","BSU_29230","YorL","DnaE","BSU_20340","dnaE","YorL","DnaE","BSU_20340","BSU_29230","string-db","224308.BSU29230/224308.BSU20340","physical","txid224308"
"BSU_00310","BSU_29090","HolB","PolA","BSU_00310","polA","HolB","PolA","BSU_00310","BSU_29090","string-db","224308.BSU29090/224308.BSU00310","physical","txid224308"
"BSU_00310","BSU_25560","HolB","HolA","BSU_00310","BSU_25560","HolB","HolA","BSU_00310","BSU_25560","subtiwiki","224308.BSU25560/224308.BSU00310","physical","txid224308"
"BSU_00310","BSU_29230","HolB","DnaE","BSU_00310","dnaE","HolB","DnaE","BSU_00310","BSU_29230","subtiwiki","224308.BSU29230/224308.BSU00310","physical","txid224308"
"BSU_00310","BSU_16580","HolB","PolC","BSU_00310","BSU_16580","HolB","PolC","BSU_00310","BSU_16580","subtiwiki","224308.BSU00310/224308.BSU16580","physical","txid224308"
"BSU_00310","BSU_20340","HolB","YorL","BSU_00310","BSU_20340","HolB","YorL","BSU_00310","BSU_20340","string-db","224308.BSU20340/224308.BSU00310","physical","txid224308"
