"protein1","protein2"
"P0A9A9","P0AB55"
"P0A9A9","P31061"
"P0A9A9","P15028"
"P0A9A9","P13036"
"P0A9A9","P26266"
"P0A9A9","P77667"
"P0A9A9","P19925"
"P0A9A9","P0AFH2"
"P0A9A9","P25960"
"P0A9A9","P07822"
"P0A9A9","P0A6F3"
"P0A9A9","P0AEJ2"
"P0A9A9","P11454"
"P0A9A9","P0A6Z1"
"P0A9A9","P0AFZ5"
"P0A9A9","P0A6E4"
"P0A9A9","P0ABD3"
"P0A9A9","P0A6D0"
"P0A9A9","P06960"
"P0A9A9","P02924"
"P0A9A9","P23522"
"P0A9A9","P08204"
"P0A9A9","P05020"
"P0A9A9","P0AER0"
"P0A9A9","P0A8L1"
"P0A9A9","P30126"
"P0A9A9","P02929"
"P0A9A9","P0AE18"
"P0A9A9","P31826"
"P0A9A9","P00448"
"P0A9A9","P0A836"
"P0A9A9","P0AAG0"
"P0A9A9","P61889"
"P0A9A9","P0AFH6"
"P0A9A9","P31545"
"P0A9A9","P15031"
"P0A9A9","P0AEE5"
"P0A9A9","P0AD21"
"P0A9A9","P33941"
"P0A9A9","P31125"
"P0A9A9","P31827"
"P0A9A9","P25737"
"P0A9A9","P0AFG3"
"P0A9A9","P18775"
"P0A9A9","P15047"
"P0A9A9","P10906"
"P0A9A9","P0ABV2"
"P0A9A9","P18776"
"P0A9A9","P0AF36"
"P0A9A9","P76027"
"P0A9A9","P0A998"
"P0A9A9","P0C0U4"
"P0A9A9","P23876"
"P0A9A9","P23843"
"P0A9A9","P33940"
"P0A9A9","P13039"
"P0A9A9","P0AEL3"
"P0A9A9","P37313"
"P0A9A9","P10378"
"P0A9A9","P37758"
"P0A9A9","P0A9K1"
"P0A9A9","P06972"
"P0ABE2","P0ABH4"
"P0ABE2","P0A9X4"
"P0ABE2","P16926"
"P75811","P0AFX4"
"P75811","P0AE95"
"P75811","P31130"
"P75811","P75990"
"P75811","P0AFW2"
"P75811","P0AE98"
"P75811","P36560"
"P75811","P52106"
"P75811","P77657"
"P75811","P0AEA2"
"P75811","P75809"
"P75811","P75810"
"P75811","P0AFZ5"
"P0ACH5","P0A7D4"
"P0ACH5","P0AFL9"
"P0ACH5","P00448"
"P0ACH5","P43671"
"P0ACH5","P04994"
"P0ACH5","P02920"
"P0ACH5","P27294"
"P0ACH5","P38489"
"P0ACH5","P25516"
"P0ACH5","P28861"
"P0ACH5","P0AC53"
"P0ACH5","P00722"
"P0ACH5","P75991"
"P0ACH5","P63386"
"P0ACH5","P0AES9"
"P0ACH5","P0AAY6"
"P0ACH5","P0C0U4"
"P0ACH5","P31224"
"P0ACH5","P0AB10"
"P0ACH5","P05042"
"P0ACH5","P64606"
"P0ACH5","P27245"
"P0ACH5","P0AE06"
"P0ACH5","P0AET2"
"P0ACH5","P17117"
"P0ACH5","P0ACI0"
"P0ACH5","P07464"
"P0ACH5","P31121"
"P0ACH5","P46119"
"P0ACH5","P64604"
"P0ACH5","P0AFV2"
"P0ACH5","P75994"
"P0ACH5","P64602"
"P0ACH5","P75993"
"P0ACH5","P0ADV7"
"P0ACH5","P75992"
"P0ACG1","Q46899"
"P0ACG1","Q46896"
"P0ACG1","Q46901"
"P0ACG1","P45956"
"P0ACG1","P76632"
"P0ACG1","Q46897"
"P0ACG1","P0AC28"
"P0ACG1","Q46898"
"P0ACS9","P0A9E2"
"P0ACS9","P69212"
"P0ACS9","P27245"
"P0ACS9","P69210"
"P0ACS9","P0DSF5"
"P0ACS9","P31224"
"P0ACS9","P0ACH5"
"P0ACS9","P31121"
"P0ACS9","P78061"
"P0ACS9","P0ACS2"
"P0ACS9","P0AE06"
"P0ACS5","P37617"
"P0ACS5","P0AFX4"
"P0ACS5","P0AFW2"
"P0A9Q1","P0AFF0"
"P0A9Q1","P45804"
"P0A9Q1","P45800"
"P0A9Q1","P45799"
"P0A9Q1","P39389"
"P0A9Q1","P00561"
"P0A9Q1","P0AC44"
"P0A9Q1","P0A746"
"P0A9Q1","P42593"
"P0A9Q1","P07014"
"P0A9Q1","P33232"
"P0A9Q1","P75893"
"P0A9Q1","P0AAE0"
"P0A9Q1","P33602"
"P0A9Q1","P0AAU2"
"P0A9Q1","P0ADM8"
"P0A9Q1","P75894"
"P0A9Q1","P78061"
"P0A9Q1","P0ACL7"
"P0A9Q1","P52108"
"P0A9Q1","P64445"
"P0A9Q1","P0AGJ5"
"P0A9Q1","P75898"
"P0A9Q1","P0AFH8"
"P0A9Q1","P0AFF2"
"P0A9Q1","P0AFE4"
"P0A9Q1","P30136"
"P0A9Q1","Q46839"
"P0A9Q1","P76038"
"P0A9Q1","P0AFX4"
"P0A9Q1","P76115"
"P0A9Q1","P07117"
"P0A9Q1","P0AGE9"
"P0A9Q1","P0AC41"
"P0A9Q1","P0AFD1"
"P0A9Q1","P0ADP2"
"P0A9Q1","P0ABN5"
"P0A9Q1","P29018"
"P0A9Q1","P0A698"
"P0A9Q1","P0A921"
"P0A9Q1","P0AFD4"
"P0A9Q1","P0A763"
"P0A9Q1","P0AEP9"
"P0A9Q1","P0AFE8"
"P0A9Q1","P31133"
"P0A9Q1","P23843"
"P0A9Q1","P63204"
"P0A9Q1","P76503"
"P0A9Q1","P52073"
"P0A9Q1","P33940"
"P0A9Q1","P0AGE0"
"P0A9Q1","P0AFQ5"
"P0A9Q1","P0AG30"
"P0A9Q1","P0A6M2"
"P0A9Q1","P75791"
"P0A9Q1","P0AEL3"
"P0A9Q1","P09030"
"P0A9Q1","P00393"
"P0A9Q1","P0AFG6"
"P0A9Q1","P0A915"
"P0A9Q1","P69054"
"P0A9Q1","P0AFG3"
"P0A9Q1","P75897"
"P0A9Q1","P0AEQ1"
"P0A9Q1","P0AA93"
"P0A9Q1","P33599"
"P0A9Q1","P09546"
"P0A9Q1","P00946"
"P0A9Q1","P37643"
"P0A9Q1","P0AD21"
"P0A9Q1","P0ACX0"
"P0A9Q1","P0AFE0"
"P0A9Q1","P0A9K1"
"P0A9Q1","P31979"
"P0A9Q1","P18133"
"P0A9Q1","P61889"
"P0A9Q1","P0AGE4"
