protein_1_locus	protein_1_name	protein_2_locus	protein_2_name	evidence	source
BSU_01020	RplK	BSU_01260	RplNA	experimental	string-db
BSU_01020	RplK	BSU_27960	RplU	experimental	string-db
BSU_01020	RplK	BSU_01490	RplM	experimental	string-db
BSU_01020	RplK	BSU_40500	RplI	experimental	string-db
BSU_01020	RplK	BSU_01190	RplB	experimental	string-db
BSU_01020	RplK	BSU_01340	RpmD	experimental	string-db
BSU_01020	RplK	BSU_16490	RpsB	experimental	string-db
BSU_01020	RplK	BSU_25550	RpsT	experimental	string-db
BSU_01020	RplK	BSU_01210	RplV	experimental	string-db
BSU_01020	RplK	BSU_01200	RpsS	experimental	string-db
BSU_01020	RplK	BSU_01420	RpsK	experimental	string-db
BSU_01020	RplK	BSU_00590	HslR	experimental	string-db
BSU_01020	RplK	BSU_29660	RpsD	experimental	string-db
BSU_01020	RplK	BSU_01400	RpmJ	experimental	string-db
BSU_01020	RplK	BSU_01150	RpsJ	experimental	string-db
BSU_01020	RplK	BSU_01410	RpsM	experimental	string-db
BSU_01020	RplK	BSU_01440	RplQ	experimental	string-db
BSU_01020	RplK	BSU_28850	RplT	experimental	string-db
BSU_01020	RplK	BSU_01030	RplA	experimental	string-db
BSU_01020	RplK	BSU_37070	RpmEA	experimental	string-db
BSU_01020	RplK	BSU_01230	RplP	experimental	string-db
BSU_01020	RplK	BSU_28860	RpmI	experimental	string-db
BSU_01020	RplK	BSU_01240	RpmC	experimental	string-db
BSU_01020	RplK	BSU_01220	RpsC	experimental	string-db
BSU_01020	RplK	BSU_15640	YloA	experimental	string-db
BSU_01020	RplK	BSU_01290	RpsNA	experimental	string-db
BSU_01020	RplK	BSU_01310	RplF	experimental	string-db
BSU_01020	RplK	BSU_01100	RpsL	experimental	string-db
BSU_01020	RplK	BSU_01160	RplC	experimental	string-db
BSU_01020	RplK	BSU_01350	RplO	experimental	string-db
BSU_01020	RplK	BSU_16680	RpsO	experimental	string-db
BSU_01020	RplK	BSU_01180	RplW	experimental	string-db
BSU_01020	RplK	BSU_01040	RplJ	experimental	string-db
BSU_01020	RplK	BSU_24900	RpmGA	experimental	string-db
BSU_01020	RplK	BSU_01320	RplR	experimental	string-db
BSU_01020	RplK	BSU_23880	MifM	experimental	string-db
BSU_01020	RplK	BSU_01170	RplD	experimental	string-db
BSU_01020	RplK	BSU_40910	RpsF	experimental	string-db
BSU_01020	RplK	BSU_01500	RpsI	experimental	string-db
BSU_01020	RplK	BSU_41060	RpmH	experimental	string-db
BSU_01020	RplK	BSU_01300	RpsH	experimental	string-db
BSU_01020	RplK	BSU_15080	RpmF	experimental	string-db
BSU_01020	RplK	BSU_16040	RplS	experimental	string-db
BSU_01020	RplK	BSU_01280	RplE	experimental	string-db
BSU_01020	RplK	BSU_27940	RpmA	experimental	string-db
BSU_01020	RplK	BSU_01270	RplX	experimental	string-db
BSU_01020	RplK	BSU_15980	Ffh	experimental	string-db
BSU_01020	RplK	BSU_40890	RpsR	experimental	string-db
BSU_01020	RplK	BSU_15990	RpsP	experimental	string-db
BSU_01030	RplA	BSU_01330	RpsE	experimental	string-db
BSU_01030	RplA	BSU_01250	RpsQ	experimental	string-db
BSU_01030	RplA	BSU_01110	RpsG	experimental	string-db
BSU_01030	RplA	BSU_15820	RpmB	experimental	string-db
BSU_01030	RplA	BSU_01260	RplNA	experimental	string-db
BSU_01030	RplA	BSU_27960	RplU	experimental	string-db
BSU_01030	RplA	BSU_01490	RplM	experimental	string-db
BSU_01030	RplA	BSU_01190	RplB	experimental	string-db
BSU_01030	RplA	BSU_01340	RpmD	experimental	string-db
BSU_01030	RplA	BSU_16490	RpsB	experimental	string-db
BSU_01030	RplA	BSU_25550	RpsT	experimental	string-db
BSU_01030	RplA	BSU_01020	RplK	experimental	string-db
BSU_01030	RplA	BSU_01210	RplV	experimental	string-db
BSU_01030	RplA	BSU_01200	RpsS	experimental	string-db
BSU_01030	RplA	BSU_05610	VmlR	experimental	string-db
BSU_01030	RplA	BSU_01420	RpsK	experimental	string-db
BSU_01030	RplA	BSU_29660	RpsD	experimental	string-db
BSU_01030	RplA	BSU_01400	RpmJ	experimental	string-db
BSU_01030	RplA	BSU_01150	RpsJ	experimental	string-db
BSU_01030	RplA	BSU_01410	RpsM	experimental	string-db
BSU_01030	RplA	BSU_01440	RplQ	experimental	string-db
BSU_01030	RplA	BSU_28850	RplT	experimental	string-db
BSU_01030	RplA	BSU_37070	RpmEA	experimental	string-db
BSU_01030	RplA	BSU_01240	RpmC	experimental	string-db
BSU_01030	RplA	BSU_28860	RpmI	experimental	string-db
BSU_01030	RplA	BSU_01230	RplP	experimental	string-db
BSU_01030	RplA	BSU_01290	RpsNA	experimental	string-db
BSU_01030	RplA	BSU_01220	RpsC	experimental	string-db
BSU_01030	RplA	BSU_01310	RplF	experimental	string-db
BSU_01030	RplA	BSU_01100	RpsL	experimental	string-db
BSU_01030	RplA	BSU_01160	RplC	experimental	string-db
BSU_01030	RplA	BSU_01350	RplO	experimental	string-db
BSU_01030	RplA	BSU_16680	RpsO	experimental	string-db
BSU_01030	RplA	BSU_01180	RplW	experimental	string-db
BSU_01030	RplA	BSU_24900	RpmGA	experimental	string-db
BSU_01030	RplA	BSU_01320	RplR	experimental	string-db
BSU_01030	RplA	BSU_01170	RplD	experimental	string-db
BSU_01030	RplA	BSU_40910	RpsF	experimental	string-db
BSU_01030	RplA	BSU_28190	YsxC	experimental	string-db
BSU_01030	RplA	BSU_01500	RpsI	experimental	string-db
BSU_01030	RplA	BSU_29740	CcpA	experimental	string-db
BSU_01030	RplA	BSU_01300	RpsH	experimental	string-db
BSU_01030	RplA	BSU_41060	RpmH	experimental	string-db
BSU_01030	RplA	BSU_15080	RpmF	experimental	string-db
BSU_01030	RplA	BSU_16040	RplS	experimental	string-db
BSU_01030	RplA	BSU_01280	RplE	experimental	string-db
BSU_01030	RplA	BSU_27940	RpmA	experimental	string-db
BSU_01030	RplA	BSU_01270	RplX	experimental	string-db
BSU_01030	RplA	BSU_15990	RpsP	experimental	string-db
BSU_01030	RplA	BSU_40890	RpsR	experimental	string-db
BSU_01040	RplJ	BSU_01330	RpsE	experimental	string-db
BSU_01040	RplJ	BSU_01110	RpsG	experimental	string-db
BSU_01040	RplJ	BSU_01250	RpsQ	experimental	string-db
BSU_01040	RplJ	BSU_15820	RpmB	experimental	string-db
BSU_01040	RplJ	BSU_40500	RplI	experimental	string-db
BSU_01040	RplJ	BSU_01490	RplM	experimental	string-db
BSU_01040	RplJ	BSU_27960	RplU	experimental	string-db
BSU_01040	RplJ	BSU_01260	RplNA	experimental	string-db
BSU_01040	RplJ	BSU_01340	RpmD	experimental	string-db
BSU_01040	RplJ	BSU_16490	RpsB	experimental	string-db
BSU_01040	RplJ	BSU_00950	MrnC	experimental	string-db
BSU_01040	RplJ	BSU_01190	RplB	experimental	string-db
BSU_01040	RplJ	BSU_01210	RplV	experimental	string-db
BSU_01040	RplJ	BSU_01020	RplK	experimental	string-db
BSU_01040	RplJ	BSU_25550	RpsT	experimental	string-db
BSU_01040	RplJ	BSU_01420	RpsK	experimental	string-db
BSU_01040	RplJ	BSU_01200	RpsS	experimental	string-db
BSU_01040	RplJ	BSU_01400	RpmJ	experimental	string-db
BSU_01040	RplJ	BSU_01150	RpsJ	experimental	string-db
BSU_01040	RplJ	BSU_29660	RpsD	experimental	string-db
BSU_01040	RplJ	BSU_00590	HslR	experimental	string-db
BSU_01040	RplJ	BSU_37070	RpmEA	experimental	string-db
BSU_01040	RplJ	BSU_01440	RplQ	experimental	string-db
