regulator_locus	regulator_name	mode	gene_locus	gene_name	link
NA	preQ1 riboswitch	RNA switch	BSU_13720	queC	224308.NA/224308.BSU13720
NA	preQ1 riboswitch	RNA switch	BSU_13750	queF	224308.NA/224308.BSU13750
NA	preQ1 riboswitch	RNA switch	BSU_13730	queD	224308.NA/224308.BSU13730
NA	preQ1 riboswitch	RNA switch	BSU_13740	queE	224308.NA/224308.BSU13740
BSU_09520	sigM	sigma factor	BSU_27170	fatR	224308.BSU09520/224308.BSU27170
BSU_09520	sigM	sigma factor	BSU_27160	yrhJ	224308.BSU09520/224308.BSU27160
BSU_01730	sigW	sigma factor	BSU_27170	fatR	224308.BSU01730/224308.BSU27170
BSU_01730	sigW	sigma factor	BSU_27160	yrhJ	224308.BSU01730/224308.BSU27160
BSU_27170	fatR	repression	BSU_27170	fatR	224308.BSU27170/224308.BSU27170
BSU_27170	fatR	repression	BSU_27160	yrhJ	224308.BSU27170/224308.BSU27160
BSU_23100	sigX	sigma factor	BSU_27170	fatR	224308.BSU23100/224308.BSU27170
BSU_23100	sigX	sigma factor	BSU_27160	yrhJ	224308.BSU23100/224308.BSU27160
BSU_24220	spo0A	activation	BSU_36230	ugd	224308.BSU24220/224308.BSU36230
BSU_24220	spo0A	activation	BSU_36250	ptkA	224308.BSU24220/224308.BSU36250
BSU_24220	spo0A	activation	BSU_36260	tkmA	224308.BSU24220/224308.BSU36260
BSU_24220	spo0A	activation	BSU_36240	ptpZ	224308.BSU24220/224308.BSU36240
BSU_25200	sigA	sigma factor	BSU_36230	ugd	224308.BSU25200/224308.BSU36230
BSU_25200	sigA	sigma factor	BSU_36250	ptkA	224308.BSU25200/224308.BSU36250
BSU_25200	sigA	sigma factor	BSU_36260	tkmA	224308.BSU25200/224308.BSU36260
BSU_25200	sigA	sigma factor	BSU_36240	ptpZ	224308.BSU25200/224308.BSU36240
BSU_35490	degU	activation	BSU_36230	ugd	224308.BSU35490/224308.BSU36230
BSU_35490	degU	activation	BSU_36250	ptkA	224308.BSU35490/224308.BSU36250
BSU_35490	degU	activation	BSU_36260	tkmA	224308.BSU35490/224308.BSU36260
BSU_35490	degU	activation	BSU_36240	ptpZ	224308.BSU35490/224308.BSU36240
BSU_00370	abrB	repression	BSU_36230	ugd	224308.BSU00370/224308.BSU36230
BSU_00370	abrB	repression	BSU_36250	ptkA	224308.BSU00370/224308.BSU36250
BSU_00370	abrB	repression	BSU_36260	tkmA	224308.BSU00370/224308.BSU36260
