protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name	link
BSU_00620	BSU_09900	experimental	string-db	DivIC	DivIC	YhaP	YhaP	224308.BSU00620/224308.BSU09900
BSU_00620	BSU_06710	experimental	string-db	DivIC	DivIC	SwrC	SwrC	224308.BSU00620/224308.BSU06710
BSU_00620	BSU_09920	experimental	string-db	DivIC	DivIC	SbcE	SbcE	224308.BSU00620/224308.BSU09920
BSU_00620	BSU_15150	experimental	string-db	DivIC	DivIC	FtsL	FtsL	224308.BSU00620/224308.BSU15150
BSU_00620	BSU_15390	textmined	string-db	DivIC	DivIC	SepF	SepF	224308.BSU00620/224308.BSU15390
BSU_00620	BSU_15160	textmined	string-db	DivIC	DivIC	PbpB	PbpB	224308.BSU00620/224308.BSU15160
BSU_00620	BSU_25330	experimental	string-db	DivIC	DivIC	YqfF	YqfF	224308.BSU00620/224308.BSU25330
BSU_00620	BSU_15280	textmined	string-db	DivIC	DivIC	FtsA	FtsA	224308.BSU00620/224308.BSU15280
BSU_00620	BSU_37030	experimental	string-db	DivIC	DivIC	RacA	RacA	224308.BSU00620/224308.BSU37030
BSU_00620	BSU_26030	experimental	string-db	DivIC	DivIC	YqbO	YqbO	224308.BSU00620/224308.BSU26030
BSU_00630	BSU_01200	database	string-db	YabR	YabR	RpsS	RpsS	224308.BSU00630/224308.BSU01200
BSU_00630	BSU_16680	database	string-db	YabR	YabR	RpsO	RpsO	224308.BSU00630/224308.BSU16680
BSU_00630	BSU_35310	database	string-db	YabR	YabR	Hpf	Hpf	224308.BSU00630/224308.BSU35310
BSU_00630	BSU_01330	database	string-db	YabR	YabR	RpsE	RpsE	224308.BSU00630/224308.BSU01330
BSU_00630	BSU_01500	database	string-db	YabR	YabR	RpsI	RpsI	224308.BSU00630/224308.BSU01500
BSU_00630	BSU_01250	database	string-db	YabR	YabR	RpsQ	RpsQ	224308.BSU00630/224308.BSU01250
BSU_00630	BSU_01420	database	string-db	YabR	YabR	RpsK	RpsK	224308.BSU00630/224308.BSU01420
BSU_00630	BSU_22880	database	string-db	YabR	YabR	RpsA	RpfA	224308.BSU00630/224308.BSU22880
BSU_00630	BSU_22880	database	string-db	YabR	YabR	RpsA	RpfA	224308.BSU00630/224308.BSU22880
BSU_00630	BSU_01220	database	string-db	YabR	YabR	RpsC	RpsC	224308.BSU00630/224308.BSU01220
BSU_00630	BSU_16490	database	string-db	YabR	YabR	RpsB	RpsB	224308.BSU00630/224308.BSU16490
BSU_00630	BSU_01110	database	string-db	YabR	YabR	RpsG	RpsG	224308.BSU00630/224308.BSU01110
BSU_00630	BSU_40890	database	string-db	YabR	YabR	RpsR	RpsR	224308.BSU00630/224308.BSU40890
BSU_00630	BSU_01300	database	string-db	YabR	YabR	RpsH	RpsH	224308.BSU00630/224308.BSU01300
BSU_00640	BSU_15280	textmined	string-db	SpoIIE	SpoIIE	FtsA	FtsA	224308.BSU00640/224308.BSU15280
BSU_00640	BSU_25770	experimental	string-db	SpoIIE	SpoIIE	SpoIVCA	SpoIVCA	224308.BSU00640/224308.BSU25770
BSU_00640	BSU_10160	experimental	string-db	SpoIIE	SpoIIE	YhgE	YhgE	224308.BSU00640/224308.BSU10160
BSU_00640	BSU_15290	textmined	string-db	SpoIIE	SpoIIE	FtsZ	FtsZ	224308.BSU00640/224308.BSU15290
BSU_00640	BSU_06710	experimental	string-db	SpoIIE	SpoIIE	SwrC	SwrC	224308.BSU00640/224308.BSU06710
BSU_00640	BSU_26030	experimental	string-db	SpoIIE	SpoIIE	YqbO	YqbO	224308.BSU00640/224308.BSU26030
BSU_00640	BSU_37030	experimental	string-db	SpoIIE	SpoIIE	RacA	RacA	224308.BSU00640/224308.BSU37030
BSU_00640	BSU_09900	experimental	string-db	SpoIIE	SpoIIE	YhaP	YhaP	224308.BSU00640/224308.BSU09900
BSU_00640	BSU_12890	experimental	string-db	SpoIIE	SpoIIE	YkcC	YkcC	224308.BSU00640/224308.BSU12890
